"","Score","Media","Reviewer","Date","Review","Review (Don't)"
"235","88","During previews Funny, Absorbing, Great acting, Intelligent, Resonant  Yelena S",""," April 19th, 2017","See it if Terrific actors deftly handling a mostly great script. It's really a uniformly excellent ensemble.","Don't see it if You're not interested in gender and relationship dynamics. You don't care for didactic speechifying in parts of the script."
"236","88","During previews Funny, Clever, Great acting, Intelligent, Entertaining  PeterPeterTheatreEater",""," April 18th, 2017","See it if You're interested in a clever take on a classic play featuring a tremendous cast giving stellar performances throughout.","Don't see it if You are unfamiliar with Ibsen and the original work, you may be a bit lost. Otherwise it's a very contemporary play."
"237","98","During previews Intelligent, Thought-provoking, Refreshing, Relevant, Hilarious  Bill H 2",""," April 17th, 2017","See it if You like to be surprised and challenged at the theatre; if you like shows that make you think; if you like great, idiosyncratic performances","Don't see it if Are expecting a classic Ibsen play, or anything resembling such. If you don't like plays about ideas. If you need for one opinion to  win="
"238","80","During previews Funny, Great acting, Quirky  David G 6097",""," April 17th, 2017","See it if U want to see wonderful performances by Metcalf and Houdyshell. And laugh.","Don't see it if Yiu havent seen a doll'shouse part one="
"239","75","During previews Great acting, Quirky, Entertaining, Farfetched, Incongruous  DIANE 6242",""," April 17th, 2017","See it if you like shows that are unconventional interpretations of classics. You want to see a brilliant and offbeat performance by Laurie Metcalf.","Don't see it if you dislike shows with sparse sets or with historical inconsistencies, as it is set in the 1800s, but uses present day vernacular."
"240","85","During previews Funny, Delightful, Enchanting, Great acting, Entertaining  donnie 3",""," April 16th, 2017","See it if Like period pieces that gives you an insight on how misunderstandings can go horribly wrong.","Don't see it if Dont like injustices, take precedence over being human too other's feelings.="
"241","67","During previews Great acting, Disappointing  Gail 6090",""," April 16th, 2017","See it if You want to see a terrific cast","Don't see it if are offended by great talent going for sit com laughs over substance="
"242","75","During previews Funny, Clever, Intelligent, Thought-provoking  maxonstandby",""," April 15th, 2017","See it if You would like commentary on A Doll's House, or are looking for a laugh","Don't see it if You can understand it if you haven't seen Doll's House but it's not as funny/reads as a staged lecture of first wave feminism.="
"243","95","During previews Funny, Clever, Delightful, Great acting  Medusa",""," April 15th, 2017","See it if You want to see some of the most adept comic stage acting ever. Metcalf gives the performance of a lifetime. Howdyshell is divine.","Don't see it if I really can't imagine why you wouldn't go. It's probably better if you know  A Doll's House  pretty well.="
"244","94","During previews Clever, Delightful, Great acting, Thought-provoking, Great writing  Bob 6070",""," April 14th, 2017","See it if You would enjoy one of America's most gifted new playwright's work acted by a superb cast","Don't see it if You can't appreciate a witty sequel to one of the classics of world drama="
"245","100","During previews Clever, Great acting, Masterful, Must see, Great staging  MARY 6127",""," April 14th, 2017","See it if You want to see a master class in acting. Can't say enough about the entire ensemble. Plus the stage and costume designs were perfect.","Don't see it if You need to see a modern play.="
"246","79","During previews Funny, Clever, Great acting, Intelligent, Quirky  Robert 6315",""," April 14th, 2017","See it if You are a fan of clever writing. Great performances by Houdyshell and Metcalfe. Very interesting take on  what happened next  theme...","Don't see it if You don't like a small ensemble piece that relies entirely on words over action..="
"247","50","During previews Great acting, Slow  Ariel 611856",""," April 13th, 2017","See it if you've read or seen A Doll's House, and are interested in feminism.","Don't see it if you have not read or seen A Doll's House, or did not care for it.="
