"","Score","Media","Reviewer","Date","Review","Review (Don't)"
"3299","100","Absorbing, Enchanting, Epic, Must see, Entertaining  Alexa 7112",""," April 22nd, 2017","See it if You love rap and hip hop music, oh yeah and American History!","Don't see it if You're crazy."
"3300","100","Must see, Refreshing, Riveting, Great writing, Great singing  Sal 7112",""," April 22nd, 2017","See it if You love learning about history while also hearing great music!","Don't see it if You don't have a heart."
"3301","100","Delightful, Must see, Great writing  Emily 7108",""," April 22nd, 2017","See it if you want to be on swept up by a spectacular performance, you want to sing or mouth along with the lyrics everyone in the audience knows","Don't see it if you don't like or can't understand rap or hip hop="
"3302","100","Clever, Delightful, Epic  Kimberly I","  On","See it if YOU LIKE RAP AND AMAZING CHARACTER DEVELOPMENT","Don't see it if You don't like the founding fathers",""
"3303","100","Absorbing, Ambitious, Delightful, Great acting, Entertaining  Carol 7112",""," April 22nd, 2017","See it if You are curious about new theatre.","Don't see it if You are not flexible about different types of music.="
"3304","100","Ambitious, Clever, Masterful, Must see, Indulgent  Addie B",""," April 21st, 2017","See it if Hamilton is a MUST SEE! Great production from Lin-Manuel Miranda. This is an excellent show; can't get enough of it. All time favorite.","Don't see it if You are a  hater  of perfected art and musicals."
"3305","100","Funny, Clever, Delightful  Olivia H 7111",""," April 21st, 2017","See it if You love life","Don't see it if You're a horrible person"
"3306","100","Funny, Absorbing, Delightful, Entertaining, Great singing  Rachel R 711139",""," April 21st, 2017","See it if It was amazing love the cast","Don't see it if You dont like bad ass music"
"3307","100","Ambitious, Clever, Intelligent, Intense, Refreshing  Linda B 7111",""," April 21st, 2017","See it if You like new shows, you like history, you don't mind inventive theater, you want to see some incredible staging, you don't mind crying.","Don't see it if You are a stodgy person who wants to see the same old shows by Rogers and Hammerstein AGAIN."
"3308","100","Ambitious, Enchanting, Relevant, Hilarious, Great singing  Amanda M 711162","  On","See it if You're a human","Don't see it if You're not a human",""
"3309","100","Ambitious, Profound, Riveting  Amy Y 7111","  On","See it if You love history and music and broadway","Don't see it if Just see it",""
"3310","100","Clever, Delightful, Enchanting, Must see, Entertaining  Joanne L 7111","  On","See it if you don't like history but are willing to see it  lived out  in a way that's more appealing to contemporary audiences.","Don't see it if you are sensitive to a few bad words being dropped here and there.",""
"3311","100","Funny, Absorbing, Clever, Delightful, Great singing  Blayne","  On","See it if You enjoy musicals. You will absolutely love it","Don't see it if You're literally satan",""
"3312","98","Clever, Exquisite, Masterful, Great writing, Great singing  Monika 7111",""," April 21st, 2017","See it if you want to experience a life-changing performance!! So original, so cleverly written, such endearing characters! An absolute must see!","Don't see it if you don't want to become addicted to the amazing music and listen to this and nothing else for years to come!! (happened to me...:)="
"3313","95","Absorbing, Intelligent, Relevant  Mary B 7111","  On","See it if You enjoy history, love New York, want to learn something while be entertained, enjoy modern takes on history","Don't see it if you have no inerterst in or knowledge of how the US was founded",""
"3314","100","Ambitious, Delightful, Must see, Resonant, Great writing  Erica K 7111","  On","See it if you enjoy modern takes on historical events, you like good music of varying genres, or you want to experience one of the best shows ever.","Don't see it if you are put off with the idea of different races portraying the Founding Fathers.",""
"3315","100","Absorbing, Clever, Great acting, Must see, Great writing  LINDA B 615933",""," April 20th, 2017","See it if enjoy seeing history portrayed with a different perspective. The writing is so intelligent and characters/actors are captivating.","Don't see it if I can't see why anyone wouldn't. Might be difficult for someone with hearing issues.="
"3316","96","Clever, Exquisite, Great writing, Entertaining, Great singing  Jenna P 7110",""," April 20th, 2017","See it if you have the opportunity.","Don't see it if you have a closed mine to a hip-hop take on history.="
