"","Score","Media","Reviewer","Date","Review","Review (Don't)"
"191","53","During previews Cliched, Great singing, Bad writing, Okay music  Cat Heinen",""," April 16th, 2017","See it if You have a child or have never seen a Broadway show. Enchanting costumes.","Don't see it if you can see anything else. You're not missing much by skipping this show. Great singers and costumes, but not worth the money.="
"192","100","During previews Absorbing, Enchanting, Masterful, Must see, Great singing  Randi Kira",""," April 15th, 2017","See it if You have any affection for the film, or want to see perfect singing and acting in a family friendly and gorgeous show.","Don't see it if I have nothing to write here. A perfect adaptation.="
"193","82","During previews Romantic, Cliched, Entertaining, Great singing, Great staging  Mary M 2",""," April 14th, 2017","See it if You want pretty costumes &sets, + lovely singers performing pleasant music. You're a fan of the animated movie.","Don't see it if You want a musical w/an original voice: it homages classic musicals. You don't want history mixed with fantasy.="
"194","69","During previews Great singing  shakes2000",""," April 13th, 2017","See it if you have children, and are in the mood for some wholesome family friendly musical theater.","Don't see it if you need production value, a solid book, and/or score out of your musicals.="
"195","75","During previews Funny, Delightful, Fluffy, Crowded  Luke",""," April 13th, 2017","See it if you have kids. Or love great costume design (seriously...the dresses are phenomenal).","Don't see it if you're expecting the movie. FAR from it. Same story...told a different way.=Also I mainly saw this because a friend of mine is making her Broadway debut with this show (congrats, Lauren!). However, I think I need to see it again to give it a proper judgement. My siblings and I watched the animated movie a million times growing up, so it was difficult not to compare it to the movie (which is so good). My biggest complaint is that the actors seemed cramped onstage because the set took up a lot of the room. So anytime they danced, they seemed to be mere inches from playing bumper cars. But how can I not mention the projections=Absolutely stunning!...<U+00A0>Read more Read less="
"196","85","During previews Enchanting, Epic, Entertaining, Fluffy, Beautiful costumes  MichelleJoy",""," April 9th, 2017","See it if You enjoyed the movie, are interested in a multiple perspectives of the fall of the Romanovs and Russian Rev., great songs, score, & staging","Don't see it if You want a more substantial musical, detested the movie, want to avoid thinking about Russia or communism="
"197","96","During previews Absorbing, Enchanting, Great singing, Great staging, Magical  Serena C",""," April 7th, 2017","See it if you're a fan of the '95 movie and want to be enchanted by this magical production. The cast is stellar and the set and costumes are stunning","Don't see it if you don't like the music from the movie. Though you're crazy not to love it, bc it's amazing and the new songs are also gorgeous.="
"198","80","During previews Delightful, Enchanting, Great acting, Romantic, Entertaining  Alfonso B",""," April 6th, 2017","See it if You love romantic Disney stories.","Don't see it if You are looking for a more profound piece of work.="
"199","83","During previews Absorbing, Clever, Delightful, Enchanting, Entertaining  Kayla Coleman",""," April 5th, 2017","See it if you loved the movie","Don't see it if you hated the movie="
"200","69","During previews Disappointing, Entertaining, Overlong, Old-fashioned, Lovely music  JimDM",""," April 4th, 2017","See it if You want to hear lovely voices take on a lovely score, or to see Caroline O'Connor kill in a small role in the 2nd act.","Don't see it if You're expecting narrative tension, a well-paced book or particularly impactful lead performances. The best work is from the supporting cast="
"201","52","During previews Ambitious, Disappointing, Fluffy  TR",""," April 2nd, 2017","See it if you're, I guess, a 20-something woman who fell in love with the '97 animated movie (I didn't see it). Or want a fam-friendly into to b.way","Don't see it if you're a frequent theater-goer. I feel bad. It's not like they didn't try...hard. The LED screens impress, but don't feel like theater to me="
"202","75","During previews Great performances, A little slow, Sweet and simple, Great set design!, Not particularly ambitious story-telling  Moose Murders",""," April 2nd, 2017","See it if you like Disney-type musicals, sweet romances with princesses & heroes, eye-catching set design & production values, and great performances.","Don't see it if you want stories that are thought-provoking or challenging, characters that go beyond storybook forms, or music that fully engages.="
"203","90","During previews Absorbing, Delightful, Enchanting, Great acting, Great staging  Sarah_Moore",""," March 31st, 2017","See it if you're a fan of the movie","Don't see it if you don't like the movie="
"204","100","During previews Enchanting, Epic, Must see, Great singing, Great staging  CJ S",""," March 29th, 2017","See it if This show is Magical. You will clap, laugh, cry, and get lost in this beautiful world they've created.","Don't see it if You don't want to have fun. See It!!="
"205","85","During previews Absorbing, Delightful, Romantic  Julie 3",""," March 29th, 2017","See it if you want to see a new traditional musical with good tunes and performers.","Don't see it if you look for something more challenging; you want a more socially conscious plot.="
"206","95","During previews Enchanting, Exquisite, Must see, Great singing, Great staging  Shari L",""," March 29th, 2017","See it if you love the movie & don't mind some changes, amazing performances all around, great staging & costumes, excellent music both old & new,","Don't see it if you dislike the movie or like it & don't want some changes, don't like historical fiction that alters true history,="
