"","Score","Media","Reviewer","Date","Review","Review (Don't)"
"67","85","Theater Life","Isa Goldberg","May 4th, 2017","<U+201C><U+2018>Bandstand<U+2019> raises the stakes on a storied clich<U+00E9><U+2026>Oberacker and Taylor bring an innocence and vitality to a story every boy and girl imagines, and which the show<U+2019>s creators run with to the heights<U+2026>What a pleasure it is to hear Oberacker<U+2019>s compositions<U+2026>Laura Osnes does a remarkable acting job<U+2026><U+2018>Bandstand<U+2019> is a laudable work steeped in classical American music and dance styles, with a nostalgic sense of storytelling that still requires attention.<U+201D>",""
"68","75","Entertainment Weekly","Breanne L. Heldman","April 26th, 2017","<U+201C>Cott and Osnes are worthy Broadway leads, with big voices and the energy and commitment to steer the show, but while they sounded great together, they lacked the spark that might<U+2019>ve had me cheering for them to connect romantically<U+2026>Blankenbuehler pulls double-duty as both choreographer and director here and manages with aplomb<U+2026>'Bandstand' offers plenty to entertain in the moment, but despite its weighty theme, little lingers.",""
"69","45","Daily Beast","David Freedlander","April 27th, 2017","Resolutely old-fashioned, cynical despite its syrupy story line, and seemingly calibrated to hit its audience precisely in its comfort zone...'Bandstand' is more than competently pulled off...The show, however, is a bit of a shock. It is not the shock of newness, but the shock of seeing something performed that so resolutely remains walled off from even the present state of politics and culture...The kind of show you take your parents too, or more likely your grandparents.",""
"70","85","Stage Buddy","Ariana Starr","May 1st, 2017","Has all the ingredients necessary to make a Broadway hit: catchy songs that stay in your head...extraordinary choreography and a captivating story of war, love, and perseverance...Although undoubtedly an excellent piece of theater, there seems to be something somewhat dated about it...Although it<U+2019>s possible that you<U+2019>ll foresee a plot twist, embrace it, as 'Bandstand' is just as likely to jolt you alert, reduce you to tears, and ultimately, bring you to your feet.",""
"71","90","The Saratogian","Bob Goepfert","April 27th, 2017","An impressive work as it takes what might sound like a clich<U+00E9> and turns it into a meaningful work that is fun without being frothy, and serious without being somber...The entire cast is terrific as each band member is able to etch a character who rises above stereotype...Director-choreographer Andy Blankenbuehler keeps the dances vibrant and exciting. More importantly, he tells an emotionally complex story with clarity. 'Bandstand' is a delight that is compassionate, entertaining and truthful.",""
"72","80","Theatermania","Hayley Levitt","October 21st, 2015","for a previous production  Exciting choreography is never in short supply from Andy Blankenbuehler...The tone here is fun and lively like any tourist-attracting musical should be. But Blankenbuehler adds both metaphorical and literal shadows to its shiny facade...The only thing that disappoints about 'The Bandstand' is its tendency to slip into the trite musical it distinctly is not...But at its highest moments, 'The Bandstand' is not just a story told with music <U+2014> it's a story born from music.",""
"73","90","BroadwayWorld","Marina Kennedy","October 22nd, 2015","for a previous production <U+2018>Brilliantly directed and choreographed<U+2026>The cast of 'The Bandstand' delivers outstanding performances...The score is inventive and flawlessly performed with thrilling dance numbers<U+2026>The numbers are wholly relevant to the story line and each song makes you yearn for the next...'The Bandstand' is an epic, patriotic musical that tells of struggle, loss and a special kind of heroism...A show that is sure to entertain and raise your spirits, a musical theatre fan's dream come true.",""
"74","70","The Huffington Post","Michael Glitz","October 19th, 2015","for a previous production  They<U+2019>ve got a lot going for them: two very appealing leads, a brisk and propulsive visual style powered by director and choreographer Andy Blankenbuehler and a family friendly story with some bite<U+2026>The show would undoubtedly improve if those gritty impulses were encouraged even more...Again and again, one wanted more. Not huge new scenes or lengthy back stories, but a moment or lyric here, a scene there that would deepen the story they<U+2019>re already telling.",""
"75","80","AM New York","Matt Windman","October 19th, 2015","for a previous production  A terrific new musical with an absorbing plot, likable characters, high emotional stakes, a tuneful, big band-style score, and seamless swing dance choreography from director-choreographer Andy Blankenbuehler...The plotting is occasionally clunky, and it is difficult to adequately explore all of the supporting characters while keep the two leads and their slow romance front and center. But on the whole, 'The Bandstand' is lively, enjoyable and captivating.",""
"76","97","Relevant, Powerful, Surprising  Dean 6088",""," May 8th, 2017","See it if You liked Allegiance or Cabaret","Don't see it if You don't want to see a good show"
"77","78","Absorbing, Ambitious, Intelligent, Thought-provoking  Joel C",""," May 7th, 2017","See it if Looking for something with a bit of a bite. Thought it would be more light hearted but had a message","Don't see it if Songs weren't great or overall memorable. Choreography lacked a certain something="
"78","82","Absorbing, Romantic, Entertaining, Great singing, Great staging  Joseph J",""," May 7th, 2017","See it if you love the big band sound. Great score and choreography. Plot keeps your interest!","Don't see it if you are looking for fluff or prefer the more modern musicals.."
"79","90","Enchanting, Thought-provoking, Relevant, Romantic, Great dancing  Ross B",""," May 7th, 2017","See it if you enjoy great dancing and singing in the post WW2 big band style. There is also a lot to think about, underpinning the entertainment.","Don't see it if you don't like a story interpreted through modern dance or you don't like your swing music used to address the serious problem of PTSD.=Also They lure you in with great music and a dance chorus that is as much ballet as swing and then they introduce the real reason for the show. This is a story of the boys returning from war and trying to get on with their lives when their world has changed and they have brought the war back with them. In the days before we had identified PTSD these vets didn't get the support they needed and we have to ask ourselves are the current generation of survivors also falling through the cracks of the system. This all sounds very heavy and serious, and it is, but there is also a lot of humor and the music and dancing is spectacular. The interesting thing is that the dancing, though it is used as a way to interpret the war it is also a celebration and becomes the salvation for the 6 men who band together for support and to take back their lives....<U+00A0>Read more Read less="
"80","83","Relevant, Entertaining, Great staging  Cyndi V",""," May 6th, 2017","See it if you enjoy the  based on a true story  musical. Love watching great dancing. Like big band music.","Don't see it if you are looking for a show about American Bandstand. This is a post WW2 story.="
"81","100","Must see, Riveting, Romantic, Entertaining, Great singing  Sean Ryan",""," May 5th, 2017","See it if You want to have an amazing experiment.","Don't see it if You are looking for an up lifting show.="
"82","79","Delightful, Romantic, Entertaining, Great singing, Great staging  Ali 6125",""," May 4th, 2017","See it if you like good choreography and dancing.","Don't see it if being a war vet is a tough subject for you.="
"83","71","Banal, Disappointing, Overrated, Slow  Marc 6243",""," May 4th, 2017","See it if You want to see a Tony nominated show. You like Laura Osnes - she is great. I did not see it with Corey Cott, so that may have made a diff","Don't see it if You are expecting Jersey Boys, with Swing music instead, because that is NOT what you will get. You don't like musicals.="
"84","75","Disappointing, Cliched, Entertaining  Ken 13",""," May 3rd, 2017","See it if you have a very high tolerance for predictable romantic plots that resemble a Hallmark Presents drama. Kinetic choreography; dull score.","Don't see it if you are looking for the next great musical score which unfortunately this is not. Uninspired lyrics and music Dancing doesn't always connect="
"85","50","Boring, Banal, Cliched, Fluffy, Vanilla  Tim 6156",""," May 3rd, 2017","See it if you love swing dancing, or your a fan of it's leading players.","Don't see it if you want to see a thoughtful musical that deals with serious issues in serious ways. You want to care about what's happening on stage.="
"86","92","Must see, Resonant, Inspiring, Great singing, Great staging  Alice 6119",""," May 3rd, 2017","See it if for a poignant portrait of WWII servicemen & widow bonding & healing through music they perform; a moving, relatable story & tribute to vets","Don't see it if you're painfully sensitive to stories of veterans' struggles acclimating to life post-service or you dislike swing or dance-laden musicals=Also I'm not much for swing music, but as an amateur musician, I was intrigued by the element of the 6 actors performing their own music. They were terrific, and Laura Osnes's singing is phenomenal, too!...<U+00A0>Read more Read less="
"87","65","Intelligent, Relevant, Disappointing, Emotional, Sentimental  Ray of Light",""," May 2nd, 2017","See it if you want to support an original musical that is ambitious enough to tackle real issues like the experience of veterans with a strong cast.","Don't see it if you want to leave the theater with a memorable score or lyric to hum along to.="
"88","100","Enchanting, Exquisite, Masterful, Must see, Great singing  MirandaS",""," May 1st, 2017","See it if Like new musicals, swing music, are fans of Corey Cott, Laura Osnes, and Andy Blankenbuehler.","Don't see it if Don't like new, original musicals with amazing choreography=Also My favorite new show of this Broadway season!="
"89","68","Ambitious, Relevant, Disappointing, Cliched, Overrated  Mark 6293",""," April 30th, 2017","See it if you like a show with an earnest message told through cliched Broadway razz-matazz choreography that works against the real story.","Don't see it if if constant movement and  jazz hands  are not your idea of good dancing.="
"90","78","Ambitious, Disappointing, Cliched, Slow, Underwhelming  Rebeccam21",""," April 30th, 2017","See it if Laura Osnes steals the show; she's the reason to see Bandstand. Some of the songs have a catchy, swing feel to them.","Don't see it if You're expecting a fast-moving musical. Boring set design, boring costuming, confusing choreography.="
"91","45","Self-important, Energetic, Clumsy  Christopher C 2",""," April 30th, 2017","See it if you don't mind your moments of beauty overshadowed by vast stretches of ineptitude","Don't see it if you don't mind shows whose ambitions exceed their ability to deliver="
"92","76","Funny, Delightful, Enchanting, Entertaining, Great staging  Cherine",""," April 30th, 2017","See it if You like cute story lines, dynamic choreography and seeing a band.","Don't see it if You're going to get emotional over a moving storyline and memories of war will affect you.="
"93","81","Refreshing, Entertaining, Great singing, Great dancing  Diffs92",""," April 30th, 2017","See it if You love Laura Osnes/Corey Cott. You love swing era, big band music & dance. If you're interested in a story about veteran life post WWII.","Don't see it if You're not interested in a story about post-war PTSD. You don't want a sappy romantic story. You want a big, Broadway production.="
"94","85","Delightful, Resonant, Entertaining, Great singing  DIRECTORCHICK",""," April 29th, 2017","See it if You love big band music, great singing and original musicals not based on a movie.","Don't see it if You don't like nostalgic shows.="
"95","70","Thought-provoking, Resonant, Great staging  Noel C",""," April 29th, 2017","See it if You're from a military family, enjoy swing dancing, and like big band music.","Don't see it if You like diversity on stage - this is a rather white show.="
"96","82","Great singing  Tracy W",""," April 28th, 2017","See it if Love great music","Don't see it if Are looking for a nice quiet show="
"97","90","Refreshing, Entertaining, Great singing  David 626377",""," April 28th, 2017","See it if you like truly break through performances by true stars coming into their own in a new show: Corey Cott & Laura Osnes are brilliant in show.","Don't see it if Don't like a great deal of dancing in your musicals as so many are today; you do not appreciate the choreography of Andy, who did Hamilton.="
"98","72","Great acting, Thought-provoking, Great singing, Great staging  A2016",""," April 28th, 2017","See it if you want a heart-touching story to go along with your big band music","Don't see it if you think this is simply a big band-era concert, there's a heavy story here about war veterans.="
"99","89","Funny, Absorbing, Delightful, Enchanting, Entertaining  Denniss",""," April 27th, 2017","See it if you enjoy an original swinging score with sublime singing and triple talented musicians.","Don't see it if you don't like period presentations.=Also The book and the music were wonderful. A ticket well worth buying.="
"100","81","Ambitious, Intelligent, Entertaining, Great singing, Great staging  Harriet",""," April 27th, 2017","See it if you like musicals with a message. (PTSS in WW 11 veterans) that are also entertaining. Excellent choreography and good singing.","Don't see it if you want something completely new. A little it of Mickey and Judy putting on a show.="
"101","70","CurtainUp","Simon Saltzman","October 18th, 2015","for a previous production  Blankenbuehler has directed and choreographed 'The Bandstand' with the necessary verve while demonstrating a vibrant flair for the times. His direction is largely defined by being able to keep up with the pace of the dancing, all of which gives the illusion of being not only non-stop and also un-stoppable...A major item missing from the show is humor...All told, the era of 'The Bandstand' appears perfectly grounded with its look and by its sounds.",""
"102","65","The New York Times","Michael Sommers","October 23rd, 2015","for a previous production  The musical<U+2019>s angry climax is quite effective. What precedes it is scarcely so thrilling. The script and score are competently crafted but greater musical variety and certainly a richer infusion of humor are needed...Andy Blankenbuehler, who directs and choreographs, gives the production plenty of kinetic energy, but there tends to be a sameness to his post-jitterbug dances...The 21-member company never fails to animate this obviously sincerely meant yet curiously flat musical.",""
"103","95","BritishTheatre.com","Stephen Collins","October 20th, 2015","for a previous production  A work which offers many terrific parts, which is stuffed with insight and true heart, which makes one laugh and cry with delight, and which carries a strong political message...An unqualified triumph in every way, beautifully written, superbly directed, immaculately performed, and consummately engaging and absorbing...Across the board, the performances here are first rate in every respect...This is a masterpiece of musical theatre. It operates on many levels at once, and succeeds on all.",""
"104","85","NJ.com","Patrick Maley","October 19th, 2015","for a previous production  A bold, uncompromising musical that jumps and swings with heart, energy, and a refreshing resistance to schmaltz. It refuses to shy away from its own weighty subject matter, while also delivering a rousing score of big-band swing complemented by frenetic dance numbers...The songs sound authentic to the era, but feel uniquely fresh, and they infuse 'The Bandstand' with a palpable energy...Full of feverish music and dance, the energy here never flags.",""
"105","70","The Flip Side","Kevin Filipski","November 5th, 2015","for a previous production  A precarious, semi-successful balancing act between entertainment and psychological study...The predictable trajectory of the story is the weakest part of the show. Oberacker<U+2019>s music is a sturdy swing-music pastiche that purrs along nicely...Blankenbueler<U+2019>s stylish direction and lively choreography keep the show on the right track even when it bogs down in trite familiarity...Whenever Osnes and company let loose with another tune, most of the flaws of 'Bandstand' are forgiven.",""
"106","90","Center on the Aisle","R. Jones","October 23rd, 2015","for a previous production  A story infused with such heart and passion, it practically jumps off the page...It<U+2019>s thrilling...Every step, whether it be choreographed or staged, has a purpose, a through-line to the story being told...The book is witty, clever, and expertly handled and executed...Cott is magnificent in the lead role...He has palpable chemistry with the effervescent Osnes, and their scenes are intimate and personal...Every bit his equal is Osnes...The supporting cast is uniformly strong.",""
"107","70","Ambitious, Banal, Disappointing, Excruciating, Frenetic  Lori 7044",""," April 27th, 2017","See it if you really like Corey Cott--he does his best with weak material. You like a show with constant movement, a 40s version of Hamilton. Too much","Don't see it if you are looking for a show that makes sense and handles issues. Weird mix of PTSD, returning soldiers and really frenetic jitterbug scenes.="
"108","65","Disappointing, Excruciating, Overrated  Barbara H 6125",""," April 26th, 2017","See it if You love Laura Osnes and/or Corey Cott and the story doesn't matter.","Don't see it if You are looking for catchy music, a good story, and great performances.="
"109","93","Absorbing, Clever, Great acting, Entertaining, Great singing  Valerie G",""," April 26th, 2017","See it if you're a fan of shows like Once where the cast plays instruments on stage, you're a fan of Cott & Osnes, and you like Swing Music.","Don't see it if If you want to see something with an edgier score and something that is  lighter  in terms of story. This is a heavy story.="
"110","81","Romantic, Entertaining, Great singing, Great dancing, Tuneful  Alan9347",""," April 26th, 2017","See it if you want to see fresh, appealing performers in an original musical that's partly dark and partly sunny","Don't see it if you don't care for swing music or 40s- style dancing="
"111","87","Absorbing, Great acting, Masterful, Entertaining, Great singing  Jake L 6068",""," May 9th, 2017","See it if wanting an evening watching an insanely talented cast or in need of a music getaway","Don't see it if looking for high tech or complicated plot="
"112","84","Funny, Thought-provoking, Resonant, Entertaining, Touching  Green scene",""," May 8th, 2017","See it if You would enjoy a classical musical story addressing post-traumatic stress disorder in WW2 vets","Don't see it if You are sensitive re seeing the effects of PTSD on stage=Also Comedy mixed with pathos. Let's put on a show theme mixed with a second chance for traumatized vets....<U+00A0>Read more Read less="
"113","75","Intense, Great singing, Great staging  Christine M 721",""," May 8th, 2017","See it if You want to see a decent Broadway show.","Don't see it if Your expectations for swing music are high.=Also I found this to be a decent show to see. I won't rave about it. The music wasn't memorable and I thought they could have done more to make it BIG BAND swing but I wasn't. Story was decent. The dancing that they did do was very good. The mother was a funny character and the lead can sing her butt off! She is amazing. I don't know how long it will last but if you get a reasonable priced ticket it will be a nice night out....<U+00A0>Read more Read less="
"114","95","Intelligent, Masterful, Resonant, Entertaining  Emily 631336",""," May 8th, 2017","See it if You want an enrapturing spectacle with great choreography, singing, staging, and live musicians on stage. Love for jazz is a must!","Don't see it if You you do not want a fun, but also brilliant and meaningful, love story. Also deals with PTSD and war themes."
"115","84","Romantic, Great singing  Stacy 10",""," May 7th, 2017","See it if If you love Corey Cott and Laura Osnes!! They are perfect together","Don't see it if Music is a little loud and sometimes can't understand what they were singing"
"116","90","Ambitious, Resonant, Entertaining, Great singing, Great staging  Pip",""," May 7th, 2017","See it if you like post-WW2 era dramas, live on-stage music, or Laura Osnes","Don't see it if you don't like dance heavy musicals"
"117","75","Quirky, Disappointing, Great singing, Great staging  DavidBMaletzky",""," May 7th, 2017","See it if If you enjoy good choreographed numbers. Very talented group of actors and musicians","Don't see it if Don't see it if you expect great big band numbers Lacked jive="
"118","100","Must see, Riveting, Entertaining, Great singing  Nico1029",""," May 4th, 2017","See it if into jazz/swing music, likes seeing the actors also play the instruments, into a heart-felt story line, or has an appreciation for veterans","Don't see it if you don't like jazz or swing music="
"119","87","Clever, Delightful, Thought-provoking, Entertaining, Great dancing  Madalyn",""," May 4th, 2017","See it if you: want to see moving choreography by Andy Blankenbuehler, love Big Band/Swing, want to be charmed/awed by live music played on stage.","Don't see it if you're looking for an in-depth exploration of PTSD and other issues faced by returning vets. You do not enjoy music from the late 40s.=Also If Bandstand doesn't win the Tony for Choreography I would be suprised. It's not just the swing dancing numbers (which are great!) but the entire show the choreography is telling a story along with the actors. I haven't been so moved by choreography of a musical possibly ever....<U+00A0>Read more Read less="
"120","88","Ambitious, Intelligent, Entertaining, Great singing, Great staging  batman",""," May 3rd, 2017","See it if You want to see amazing performances, innovative choreography, and an ambitious script, with a hot original big band score.","Don't see it if If you want a mindless  jukebox  big band musical. There are darker themes here, to accompany the high-energy performances.=Also An ambitious, new, American musical, but a bit schizophrenic - part feel-good, high energy swing music, oldtime love story. Part exploration into the psyches of WW II vets and PTSD. It doesn't quite all come together, but the journey getting there is a highly entertaining AND interesting one. The choreography is terrific. And the performers - 5 of whom not only sing, act & dance, but play the HELL out of their instruments in stage - are nothing short of amazing. And the score - all original music - is catchy and fresh....<U+00A0>Read more Read less="
"121","85","Great acting, Intense, Riveting, Entertaining  Samarshmallow",""," May 3rd, 2017","See it if The storyline is appealing to you or if you want to see some fun dancing! Acting was amazing all around!","Don't see it if Stories of the war bother you.="
