"","Score","Media","Reviewer","Date","Review","Review (Don't)"
"1753","75","Absorbing, Clever, Dizzying, Edgy, Confusing  Jessie E","  On","See it if It was a wonderful play that I would go see again but the plot is a little hard to follow","Don't see it if If you don't just enjoy musicals",""
"1754","100","Must see, Quirky, Riveting, Entertaining, Great singing  LaNissa D","  On","See it if You love dressing up as a cat makeup and all","Don't see it if Epileptic",""
"1755","100","Original, Profound, Great singing, Great staging, Magical  Barbara S 6230","  On","See it if you enjoy an evening of magical song and dance, of a feline persuasion!","Don't see it if you don't like Cats!",""
"1756","100","Original, Delightful, Exquisite, Masterful, Entertaining  Barbara B 6072",""," August 17th, 2016","See it if You enjoy a colorful show","Don't see it if If you need to have a specific storyline.="
"1757","100","Delightful, Must see, Riveting, Entertaining, Great singing  Ryanmyers",""," August 17th, 2016","See it if You love Andrew Lloyd Webber and his original master pieces!  It's the show you know and love","Don't see it if You don't like CATS or Andrew Lloyd Webber! Or if you don't like a smaller theatre or a younger grizabella="
"1758","80","Absorbing, Great acting, Intelligent, Great writing, Great singing  MelissaJ",""," August 16th, 2016","See it if you want to be entertained. I saw this when I was a kid and wasn't bored during any of it. You may even already know some of the songs!","Don't see it if you're a dog person."
"1759","90","Original, Great acting, Must see, Great singing, Great staging  Alyssa E 6228","  On","See it if You have heard of the show","Don't see it if N/A",""
"1760","57","Great acting, Confusing, Slow, Dated, Great singing  Morgan M 6228",""," August 15th, 2016","See it if You love old Broadway","Don't see it if You want to be confused for 2 and a half hours"
"1761","96","Funny, Quirky, Riveting, Entertaining, Great singing  Jennifer D 6228","  On","See it if You love great song and dance","Don't see it if You can't get into silliness",""
"1762","100","Clever, Enchanting, Great writing, Entertaining, Great singing  Susan H 3",""," August 14th, 2016","See it if you love dance","Don't see it if you can't let your imagination run free"
"1763","73","Original, Quirky, Confusing, Entertaining, Great singing  Shanon",""," August 14th, 2016","See it if You like a lot of singing and you like cats","Don't see it if People in leotards prancing around like cats does not seem appealing"
"1764","79","Funny, Original, Enchanting, Great acting, Great staging  Lauren 6226",""," August 13th, 2016","See it if You love cats!","Don't see it if You are a dog person!"
"1765","100","Delightful, Enchanting, Must see, Entertaining, Great singing  Donna O 6147",""," August 9th, 2016","See it if Love it!","Don't see it if Great Show! Must see!"
"1766","93","Delightful, Enchanting, Entertaining  Tiffani M",""," August 7th, 2016","See it if You love cats, and Andrew Lloyd Weber","Don't see it if You hate cats and lots of dancing."
"1767","89","Ambitious, Delightful, Indulgent, Slow, Entertaining  Madison 6219",""," August 6th, 2016","See it if if you never saw the original, or if you saw the original and can view this without making comparisons.","Don't see it if if you do not like operetta's, cats or a large production.="
"1768","100","Clever, Masterful, Great staging  Maureen S 6219","  On","See it if you are a cat lover","Don't see it if you don't like audience participation",""
"1769","100","Ambitious, Delightful, Great singing  lisa 28",""," August 5th, 2016","See it if u love spectacle and want an enchanting evening","Don't see it if u are one of the cats haters it hasnt changed="
