"","Score","Media","Reviewer","Date","Review","Review (Don't)"
"163","73","Enchanting, Confusing, Whimsical  Maxine 6097",""," April 17th, 2017","See it if you liked Big Fish on Broadway, you enjoy stories of fantasy","Don't see it if you're easily bored.="
"164","63","Enchanting, Quirky, Romantic, Disappointing, Cliched  Lauren 6127",""," April 17th, 2017","See it if you love Phillipa Soo, you enjoyed Amelie, or you like light-hearted musicals with singing fish.","Don't see it if you loved Amelie the movie- this doesn't capture the same magic, and the effort to do so feels overwrought.="
"165","65","Delightful, Resonant, Cliched, Slow, Great singing  AConn47",""," April 17th, 2017","See it if you enjoy cute musicals.","Don't see it if you want a deep intense story.="
"166","50","Ambitious, Quirky, Disappointing, Overrated, Slow  Donna 6199",""," April 16th, 2017","See it if You are a die-hard Philippe Soo fan (her voice is lovely)","Don't see it if You want to hear a musical with interesting songs that can be differentiated from one another or if you want to see a fully developed story="
"167","86","Funny, Clever, Delightful, Enchanting, Entertaining  Viktoria",""," April 16th, 2017","See it if You love the movie, if you believe in faith, luck and a little bit of people.","Don't see it if you want to hear extraordinary music, it's a decent, enjoyable work, but nothing more, I wouldn't buy it on CD.="
"168","75","Disappointing, Cliched, Slow, Great singing, Not engaging  MARY 6127",""," April 14th, 2017","See it if You want to hear some great singing.","Don't see it if You want to see an engaging story.="
"169","75","Delightful, Enchanting, Entertaining, Great staging, Fluffy  Howard 6295",""," April 14th, 2017","See it if Love the film and want to feel good about a live adaptation.","Don't see it if Want more depth.="
"170","70","Enchanting, Romantic, Slow  debra 6241",""," April 14th, 2017","See it if like quirky, sweet, romantic, light musicals","Don't see it if you are looking for depth of content. Was mostly good, and then a little slow at end.="
"171","60","Quirky, Romantic, Confusing, Disappointing, Insipid  Mark 6293",""," April 13th, 2017","See it if you like Phillipa Soo and if you already know the story and liked it.","Don't see it if precious characters and situations annoy you."
"172","74","Delightful, Indulgent, Cliched, Entertaining, Fluffy  Joseph Y P",""," April 13th, 2017","See it if You want a fluffy show that, while it is cliche, somewhat effectively uses its fluff, unlike waitress.","Don't see it if You don't like fluffy shows.="
"173","70","Ambitious, Delightful, Fluffy  Noel C",""," April 13th, 2017","See it if you want to see a cutesy, feel good musical that doesn't have much plot and won't necessarily stay with you for the rest of time.","Don't see it if You want to see something with a deep storyline or a huge production - this looks very homemade.="
"174","60","Banal, Disappointing, Cliched  David G 6097",""," April 12th, 2017","See it if if you want to see a mediocre musical with material and characters that don't make sense.","a cheap ticket=Don't see it if you have no patience for mediocrity.="
"175","65","Disappointing, Insipid, Overrated  bearcat44",""," April 12th, 2017","See it if Sorry, cannot find a reason to see this one.","Don't see it if you liked the movie, or if you like music you can remember, charm, characters you can care about, and theatricality above high school level."
"176","55","Quirky, Romantic, Disappointing, Slow, Fluffy  Julia Rose",""," April 11th, 2017","See it if you love Philippa Soo. Possibly if you enjoy the movie (which I did). You want something a little lighter that is quirky and has some charm.","Don't see it if you want variety in the music you're listening to. Made it feel like a very long show despite it only being one act.="
"177","80","Delightful, Enchanting, Great singing  Dana O",""," April 10th, 2017","See it if you love Phillipa Soo and want to see light-hearted and fun show.","Don't see it if you aren't a dreamer."
"178","75","Great acting, Confusing, Great singing  John 6202",""," April 10th, 2017","See it if you're a fan of the film or you like Phillipa Soo","Don't see it if don't like spending your time figuring out what s going on.=Also If you've seen the film you know what is happening. The writers of this adaptation do not make things as clear. The cast is good, the direction fine; but the script needs work. The music not too interesting....<U+00A0>Read more Read less="
"179","70","Ambitious, Quirky, Romantic, Confusing, Disappointing  Paul 605631",""," April 10th, 2017","See it if you've seen the film  Amelie  and loved it, love Phillips Soo, want to see a non-conventional musical, don't mind a so-so score.","Don't see it if you're expecting deeply moving or exciting Broadway moments, if you haven't seen the film  Amelie  (or you may get a bit lost)."
"180","97","Delightful, Enchanting, Must see, Great singing  MirandaS",""," April 10th, 2017","See it if Like whimsical musicals","Don't see it if Don't like musicals="
"181","85","Clever, Delightful, Quirky, Entertaining, Great staging  Sarah Wadsley",""," April 9th, 2017","See it if I thought this was different, & absolutely delightful. How they staged Amelie's 'daydreams' was very clever. Phillipa Soo is warm & lovely.","Don't see it if You don't care for new works, ensemble pieces, or unusual methods of storytelling. It's not the greatest show out there, but I enjoyed it!="
"182","80","Funny, Enchanting, Refreshing  Dayna K",""," April 9th, 2017","See it if You have a penchant for silly, charming shows","Don't see it if you like a classic Broadway show="
"183","70","Funny, Quirky, Disappointing, Great singing, Silly  Alice C 6363",""," April 8th, 2017","See it if You like Phillipa Soo, or like the original Amelie movie.","Don't see it if You need musicals with an intermission, or don't like quirky and sometimes silly humor."
"184","79","Entertaining, Great singing  Delaunay",""," April 8th, 2017","See it if you love Philippa Soo's singing voice, and would be interested in a musical about a very sweet introvert.","Don't see it if you are interested only in edgy theater, or are averse to traditional musical theater.="
"185","45","Banal, Slick, Cheesy, Empty, Exasperating  Drew 7022",""," April 7th, 2017","See it if you're willing to follow the  Hamilton  cast wherever they go. (Phillipa Soo certainly elevates the material as high as it can go.)","Don't see it if the film that inspired this musical is precious to you or lazily written, ineffective lyrics drive you up the wall."
"186","60","Quirky, Disappointing, Cute, Great singing  Tim 6156",""," April 7th, 2017","See it if you enjoy quirky musicals. You are a fan of Phillipa Soo and want to see her in everything she does.","Don't see it if you are looking for a musical that is more than a cute diversion.="
"187","43","Surreal, Banal, Insipid, Fluffy  Brodo Swaggins",""," April 7th, 2017","See it if you have paralyzing social anxiety and want to see a show about someone who does too.","Don't see it if you want a musical driven by anything resembling a strong story, motivated characters, or believable chemistry.=Also Who thought this was a good idea for a musical  It hinges on a woman who goes to extreme lengths to avoid interacting with other people. It's a show, essentially, about two people avoiding each other....<U+00A0>Read more Read less="
"188","72","Ambitious, Clever, Disappointing  Lori 7044",""," April 6th, 2017","See it if you love Phillipa Soo, you want to see all the current musicals, I guess if you are an Amelie nut, although you will find this disappointing","Don't see it if you want something outstanding instead of just clever and quirky. Music is bland and, in general, the film doesn<U+2019>t translate well to stage.="
"189","80","Delightful, Quirky, Romantic  Ronni K",""," April 6th, 2017","See it if you love Philippa Soo! She can do anything, I thought the show was really charming, if offbeat.","Don't see it if you want a huge action packed evening="
"190","45","Confusing, Disappointing, Slow, Low-budget  Nycben",""," April 6th, 2017","See it if You want to hear the great voices of Phillipa Soo and Adam Chanler-Berat and you're curious how the movie translates to the stage.","Don't see it if This was disappointing on so many levels. Confusing plot (I never saw the film), forgetful songs and cheap sets made it hard to sit through.=Also For a relatively short show, there was a lot to be disappointed about. The hard-working cast tried their best but were upstaged by distracting sets and props (a blow-up dummy ) I had no idea what was happening most of the time, and it seems that they tried to fix that by having members of the company narrate parts of the plot, but even that couldn't help. I felt bad because it had so much potential....<U+00A0>Read more Read less="
