"","Score","Media","Reviewer","Date","Review","Review (Don't)"
"113","81","Clever, Romantic, Great singing, Great staging, Imperfect  PJ 6305",""," October 31st, 2016","See it if you'd like to see a new spin on an old myth and listen to some wonderful music.","Don't see it if you're looking for a big spectacle of a musical."
"114","80","Original, Intelligent, Quirky, Resonant, Slow  Paul Mcdonald",""," September 15th, 2016","See it if An interesting concept, risky, but the devil Patrick page steals the show. He was incredible. Slow and a bit choppy I think this could grow.","Don't see it if It's a bit of an experiment, the music is folk Americana and not typical broadway. It's unique and atypical. Skip if you want a formula.="
"115","90","Absorbing, Enchanting, Great singing  Megs",""," August 16th, 2016","See it if You know the Anais Mitchell concept album. You like Greek mythology. You enjoy an intimate concert setting & lovely staging.","Don't see it if You want a terribly plot driven show. You have trouble making out lyrics. You didn't enjoy the concept album or like  folk pop.="
"116","95","Absorbing, Enchanting, Great singing, Great staging  Michali B",""," August 4th, 2016","See it if You like a mix of folk, blues, rag, even a bit of jazz.  Very entertaining.","intimate staging.=Don't see it if You can't handle a good ol tragedy="
"117","100","Amazing, big, powerful  Becky 22",""," August 3rd, 2016","See it if You love great music","Don't see it if Music isn't your thing"
"118","90","Original, Absorbing, Entertaining, Great singing, Catchy music  Shanphelia",""," August 3rd, 2016","See it if you want to see a Greek myth retold using very catchy bluegrass-tyle music. Amazing acting, esp by actresses playing Eurydice & Persephone","Don't see it if you don't like theatre in the round. Chairs are uncomfortable & you may not be able to see all of the action easily.="
"119","100","Clever, Quirky, Resonant, Great singing, Great staging  Harriet",""," August 2nd, 2016","See it if A folk opera by singer/songwriter Anais Mitchell about Orpheus and Eurydice. Good songs, well sung.  Inventive staging .","Don't see it if you like big scale musicals.="
"120","95","Absorbing, Epic, Intelligent, Riveting, Great singing  Flynn",""," August 1st, 2016","See it if you like immersive aspects, folky tunes, tight harmonies, and timeless stories told with a twist.","Don't see it if you don't like to be included in the action, or theatre in the round. Or you like literal storytelling="
"121","100","Original, Absorbing, Enchanting, Masterful, Riveting  Zahra",""," July 30th, 2016","See it if you're looking for an intimate, confusing, overwhelming theater going experience filled with folksy jazz, powerful performances and staging","Don't see it if you don't like contemporary shows--but thats not even a good enough excuse not to see this show !="
"122","92","Masterful, Great singing, Musically brilliant  Karen 7",""," July 27th, 2016","See it if you appreciate incredible harmonies brilliant music.","Don't see it if you are looking for a new and inspired book.  It's the same old story of Orpheus and Eurydice.="
